name,class,durability,strength,description
Ancient Shield,Shield,32,70,This shield was made using ancient Sheikah technology. Its surface glows blue when raised in defense. Enhanced functionality allows it to deflect Guardian beams.
Boko Shield,Shield,5,3,"A Bokoblin-made shield created by attaching a handhold to any flat tree bark picked up off the ground. It's pretty shoddy, so don't expect it to last very long."
Daybreaker,Shield,60,48,This shield was cherished by the Gerudo Champion Urbosa. The gold used to make it was handpicked to ensure a design that is both lightweight and very durable.
Dragonbone Boko Shield,Shield,8,25,"This Boko shield is reinforced with fossilized bone. Its defensive capabilities are respectable, but its predictably slipshod craftsmanship spells low disability."
Emblazoned Shield,Shield,12,3,"This shield features a traditional design from Necluda. Its combat capabilities aren't much better than the standard wooden shield, but it found popularity for its design."
Fisherman's Shield,Shield,10,3,"Often carried by fishermen for its fish design, which represents hope for a great catch. Its light wooden structure makes it convenient to take on a boat."
Forest Dweller's Shield,Shield,18,30,"The Koroks made this shield specifically for Hylians. It's made from the finest hard wood of trees that grow only in the Korok forest, so it's sturdier than it looks."
Gerudo Shield,Shield,20,20,The design of this metal shield has changed over time to match the Gerudo's sword-and-shield fighting style. It's favored by soldiers and travelers alike.
Guardian Shield,Shield,10,18,A shield made with ancient Sheikah technology. It can deflect a Guardian Scout's beam.
Guardian Shield+,Shield,13,30,The larger version of a Guardian shield has had its output level boosted. Its defensive capabilities are comparable to those of a metal shield's.
Guardian Shield++,Shield,20,42,"The output level of this shield has been boosted to maximum. Its combat capabilities surpass those of metallic shields, and it can deflect Guardian Scout beams."
Hero's Shield,Shield,90,65,"A shield said to have been the favorite of a hero who traveled the open seas. It was apparently a family heirloom, passed down through many generations."
Hunter's Shield,Shield,10,3,"Favored by hunters for its rabbit design, which is said to bring luck on hunts. It's easy to use, but its durability leaves something to be desired."
Hylian Shield,Shield,800,90,"A shield passed down through the Hyrulean royal family, along with the legend of the hero who wielded it. Its defensive capabilities and durability outshine all other shields."
Kite Shield,Shield,16,14,Rito warriors cherish this shield. Its unique shape is designed with mid-battle flight in mind to facilitate aerial combat.
Knight's Shield,Shield,23,40,"A shield favored by the knights who served the Hyrulean royal family. Its sturdy metal construction makes it quite durable, but its weight requires decent skill to wield."
Lizal Shield,Shield,8,15,"A common shield found among the Lizalfos. It's made of metal, but its sloppy craftsmanship offers poor durability."
Lynel Shield,Shield,12,30,"A sturdy shield favored by Lynels for its defensive and offensive capabilities. First and foremost a shield, but the banded edges can deal slashing attacks when deflecting."
Mighty Lynel Shield,Shield,15,44,"This Lynel-made shield has been reinforced with armor and even more blades. Stronger in both defense and offense, it can tear through basic armor when deflecting."
Pot Lid,Shield,10,1,The lid of a large soup pot. It smells vaguely of chicken broth... Yum! It can take quite a beating before breaking.
Radiant Shield,Shield,26,35,This extravagant shield is presented to Gerudo warriors who rise up to the rank of captain. Its apparent opulence is rivaled only by its combat capabilities.
Reinforced Lizal Shield,Shield,12,22,"This Lizal shield has been strengthened by adding a different type of metal to the mix. The edge is lined with spikes, so handle with care."
Royal Guard's Shield,Shield,14,70,"This shield was forged using ancient Sheikah technology. It boasts extremely high stopping power, but its structural weakness made its low durability impractical for combat."
Royal Shield,Shield,29,55,"A shield issued to the Hyrulean royal family's immediate guard detail. It boasts a high defense, but these days it's more a collector's item due to its ornamentation."
Rusty Shield,Shield,16,3,"It's likely this rusty old shield once belonged to a knight. It still has some defensive capabilities, but its usefulness has been worn down by time."
Savage Lynel Shield,Shield,20,62,This ultimate Lynel shield is used only by the white-haired Lynels. It excels at defending against even the most brutal of attacks and cutting down powerful fores when deflecting.
Shield of the Mind's Eye,Shield,16,16,A small Sheikah-made shield. Its design is intended to decrease blind spots without sacrificing too much defense.
Silver Shield,Shield,20,18,A Zora-made shield adorned with intricate ornamentation. It's said that true masters of this shield can redirect attacks as a rock redirects running water.
Soldier's Shield,Shield,16,16,"A shield once used by the guards of Hyrule Castle. It's easy to handle, but its core is made of wood, so it can catch fire."
Spiked Boko Shield,Shield,7,10,A Boko shield made of slightly stronger wood. It's been reinforced with animal bones.
Steel Lizal Shield,Shield,15,35,"This Lizal shield is adorned with several metal shells as a means of reinforcement. Its defensive capabilities are high, but its weight requires a skilled soldier to bear."
Traveler's Shield,Shield,12,4,A sturdy shield loved by many an adventurer. It is made of animal hide and sturdy wood and is best suited to defending against weak monsters or animals.
Wooden Shield,Shield,12,2,"This lightweight, simple shield is ideal for less-experienced fighters. It can withstand light attacks, but blocking stronger blows is not recommended."
